"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_informante"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"cod_rel_pess_refe_uc"	"num_familia"	"cod_cond_familia"	"cod_cond_presenca"	"dat_dia_nasc"	"dat_mes_nasc"	"dat_ano_nasc"	"idade_anos"	"idade_mes"	"idade_dia"	"cod_sexo"	"cod_sabe_ler"	"cod_freq_escola"	"cod_curso_freq"	"cod_dur_primeiro_grau_eh"	"cod_serie_freq"	"cod_nivel_instr"	"cod_dur_primeiro_grau_era"	"cod_serie_com_aprovacao"	"cod_concluiu_curso"	"anos_de_estudo"	"cod_cor_raca"	"cod_sit_receita"	"cod_sit_despesa"	"cod_tem_cartao"	"cod_ehtitular_cartao"	"cod_tem_cheque"	"cod_ehtitular_conta"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_gravida"	"num_comprimento"	"num_altura"	"num_peso"	"num_peso_crianca"	"comprimento_imputado"	"altura_imputado"	"peso_imputado"	"renda_percapita"	"cod_religiao"	"cod_tem_plano"	"cod_ehtitular"	"cod_num_dependente"	"cod_unid_consumo"	"teve_necessidade_medicamento"	"precisou_algum_servico"	"tempo_gestacao"	"cod_amamentando"	"cod_leite_materno"	"cod_outro_alimento"	"meses_leite_materno"	"cod_freq_alimentar"	"cod_alimento_consumido"
"39"	2	53	116	2	2	1	3	9	47.25517076	58.54928142	3	1	3	1	28	8	2000	8	99	3031	1	1	2	5	2	3	0	0	0	0	1	2	0	0	0	0	0	0	1460.54	261.17	1721.7	0	0	999.9	999.9	0	0	114.8	24.5	430.43	310049	2	0	0	0	0	0	-1	-1	-1	-1	-1	1	1
"40"	2	53	116	2	2	1	4	9	47.25517076	58.54928142	3	1	3	1	12	1	2002	6	83	2529	2	2	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1460.54	261.17	1721.7	0	0	999.9	999.9	0	0	113.6	26.4	430.43	310049	2	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1
"41"	2	53	116	2	3	1	1	9	47.25517076	58.54928142	1	1	1	1	18	8	1971	37	447	13634	1	1	3	0	0	0	10	0	2	2	10	4	1	3	2	0	2	0	1212.54	169.83	1382.38	0	0	999.9	999.9	0	0	169.4	71.5	345.59	110003	2	0	0	2	1	2	-1	-1	-1	-1	-1	-1	-1
"42"	2	53	116	2	3	1	2	9	47.25517076	58.54928142	2	1	2	1	1	12	1978	30	360	10972	2	1	3	0	0	0	8	1	5	2	5	2	2	2	0	0	0	0	1212.54	169.83	1382.38	2	0	168.4	80.2	0	0	168.4	80.2	345.59	110003	2	0	0	2	0	0	-1	2	-1	-1	-1	-1	-1
"43"	2	53	116	2	3	1	3	9	47.25517076	58.54928142	3	1	3	1	3	6	1995	13	162	4944	1	1	2	5	2	4	0	0	0	0	2	2	2	2	0	0	0	0	1212.54	169.83	1382.38	0	0	134.2	37.8	0	0	134.2	37.8	345.59	110003	2	0	0	2	0	0	-1	-1	-1	-1	-1	-1	-1
"44"	2	53	116	2	3	1	4	9	47.25517076	58.54928142	3	1	3	1	18	6	1999	9	113	3468	1	2	2	5	2	2	0	0	0	0	0	1	0	0	0	0	0	0	1212.54	169.83	1382.38	0	0	122.3	28.7	0	0	122.3	28.7	345.59	110003	2	0	0	0	0	0	-1	-1	-1	-1	-1	1	1
"45"	2	53	116	2	4	1	1	9	47.25517076	58.54928142	1	1	1	1	8	9	1971	37	447	13614	2	1	3	0	0	0	11	0	3	1	11	1	1	1	1	1	1	1	7753.94	202	7955.94	2	0	156.2	69.5	0	0	156.2	69.5	1988.98	110003	1	1	0	1	2	2	-1	2	-1	-1	-1	-1	-1
"46"	2	53	16	6	24	1	4	3	1044.89207584	1294.62404271	3	1	3	2	11	12	1987	20	247	7543	2	1	1	11	0	1	0	0	0	0	11	4	2	2	0	0	0	0	4755	743.9	5498.9	2	0	0	0	0	0	178.5	68.3	1374.73	110003	1	2	0	2	0	0	-1	2	-1	-1	-1	-1	-1
"47"	2	53	16	6	26	1	1	3	1044.89207584	1294.62404271	1	1	1	1	3	1	1981	27	331	10089	1	1	3	0	0	0	10	0	2	2	10	1	1	3	2	0	2	0	5159	6.85	5165.85	0	0	999.9	999.9	0	0	190.6	101.7	1291.46	350021	2	0	0	2	2	2	-1	-1	-1	-1	-1	-1	-1
"48"	2	53	16	6	26	1	2	3	1044.89207584	1294.62404271	2	1	2	1	2	2	1982	26	318	9694	2	1	3	0	0	0	10	0	2	2	10	1	1	1	2	0	2	0	5159	6.85	5165.85	2	0	163.8	53.2	0	0	163.8	53.2	1291.46	350021	2	0	0	2	2	2	-1	2	-1	-1	-1	-1	-1
