"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"perd_cod_p_visit_realm_em"	"qtd_morador_domc"	"qtd_uc"	"qtd_familia"	"cod_tipo_domc"	"cod_material_parede"	"cod_material_cobertura"	"cod_material_piso"	"qtd_comodos_domc"	"qtd_comd_serv_dormit"	"cod_agua_comodo"	"cod_abast_agua"	"qtd_banheiros"	"cod_esgoto_sanit"	"cod_cond_ocup"	"cod_tempo_moradia"	"cod_contrato_docum"	"cod_exist_pavim"	"imput_qtd_comodos"	"imput_qtd_banheiros"	"imput_esgoto"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_servico_distribuicao"	"estrada_grande_1"	"area_1"	"estrada_ferro_1"	"passagem_1"	"gasoduto_1"	"lixao_1"	"esgoto_1"	"rio_1"	"encosta_1"	"lixo_biodegradavel"	"lixo_separado"	"cod_lixo"	"rede_15"	"propria_15"	"diesel_16"	"solar_16"	"eolica_16"	"agua_16"	"biodiesel_16"	"sistema_misto_16"	"outra_fonte_16"	"energia_17"	"gas_17"	"energia_solar_17"	"lenha_17"	"outra_forma_17"	"gas_18"	"lenha_18"	"carvao_18"	"energia_eletrica_18"	"outro_18"
"52"	1	53	11	5	11	2	789.76507937	978.52102	47	10	1	1	1	1	1	2	12	7	1	1	3	2	1	0	0	2	0	0	0	4072.94	1000	5072.94	1	2	2	2	1	2	2	2	2	2	1	2	2	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"53"	1	53	11	5	12	2	789.76507937	978.52102	46	6	1	1	1	1	1	2	10	5	1	1	2	1	1	0	0	2	0	0	0	14550	1670	16220	1	2	2	2	2	2	2	2	2	2	2	0	2	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"54"	1	53	11	5	14	2	789.76507937	978.52102	48	5	1	1	1	1	1	2	15	4	1	1	6	2	1	0	0	1	0	0	0	4000	549.76	4549.76	1	1	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"55"	1	53	11	5	16	2	789.76507937	978.52102	48	3	1	1	1	1	1	2	20	3	1	1	6	3	1	0	0	1	0	0	0	2760.26	408	3168.26	1	1	2	1	1	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	2	2	1	2	2	2	2	2	1	2
"56"	1	53	11	5	3	2	789.76507937	978.52102	41	8	1	3	1	1	2	2	15	6	1	1	7	1	1	0	0	1	0	0	0	11357	1931.33	13288.33	1	1	2	2	2	2	2	2	2	2	2	0	2	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"57"	1	53	11	5	6	2	789.76507937	978.52102	43	6	1	3	1	1	1	4	3	1	1	1	1	1	3	0	0	1	0	0	0	5494.12	250	5744.12	1	2	2	2	2	2	2	2	2	2	2	0	2	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"58"	1	53	12	3	10	2	547.72313297	678.63040891	48	2	1	1	1	1	2	2	5	2	1	1	2	1	6	3	1	1	0	0	0	460	0	460	1	2	1	2	2	2	2	2	2	2	1	1	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"59"	1	53	12	3	11	2	547.72313297	678.63040891	47	4	1	1	1	1	7	2	11	4	1	1	3	1	1	0	0	1	0	0	0	1369.95	1380.13	2750.07	1	1	1	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"60"	1	53	12	3	13	2	547.72313297	678.63040891	50	3	1	1	1	1	2	2	10	3	1	1	2	1	2	0	0	1	0	0	0	7138.8	1094.27	8233.07	1	1	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"61"	1	53	12	3	14	2	547.72313297	678.63040891	49	3	1	1	1	1	1	2	5	2	1	1	1	1	4	0	0	1	0	0	0	2948.58	400.13	3348.71	2	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
