"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"qtd_item"	"cod_unidade_medida"	"cod_peso_volume"	"quantidade_final"	"cod_imput_quant"	"cod_local_compra"
"88"	6	53	5	0	8	1	1	947.38889615	1173.81734545	6	101	0	5.1	12	1	5.1	71837.62	3	488.83	19.28	508.11	5	0	0	5	0	0
"89"	6	53	5	0	9	1	1	947.38889615	1173.81734545	6	201	0	74	12	1	74	1042349.8	0	1825.4	19.4	1844.8	137	0	0	137	0	0
"90"	6	53	5	0	9	1	1	947.38889615	1173.81734545	7	101	1	66	4	0.99	65.34	306788.9	0	1825.4	19.4	1844.8	2	9201	36102	26	0	2006
"91"	6	53	5	0	9	1	1	947.38889615	1173.81734545	8	801	1	68	4	1.01	68.68	322471.1	0	1825.4	19.4	1844.8	0	0	0	0	0	2101
"92"	6	53	6	9	11	1	1	974.80523604	1207.78626303	6	201	0	30	12	1	30	434803.05	0	5050	660.92	5710.92	9999	0	0	112	1	0
"93"	6	53	6	9	11	1	1	974.80523604	1207.78626303	7	101	1	43	4	0.97	41.71	201507.06	0	5050	660.92	5710.92	1	9201	36101	13	0	2006
"94"	6	53	6	9	11	1	1	974.80523604	1207.78626303	6	901	0	150	12	1	150	2174015.27	0	5050	660.92	5710.92	0	0	0	0	0	0
"95"	6	53	6	9	12	1	1	974.80523604	1207.78626303	6	201	0	62	12	1	62	898592.98	0	3779	920.33	4699.33	9999	0	0	206	1	0
"96"	6	53	6	9	12	1	1	974.80523604	1207.78626303	8	901	1	120	4	1	120	579737.41	0	3779	920.33	4699.33	0	0	0	0	0	2106
"97"	6	53	6	9	12	1	1	974.80523604	1207.78626303	6	901	0	134.21	12	1	134.21	1945163.93	0	3779	920.33	4699.33	0	0	0	0	0	0
