"DISTRITO";"DISTRITO_nome";"sexo";"Sexo";"faixa_idade";"fx_idade";"N";"n";"fator"
17;"VALPARAISO DE GOIAS";"Masculino";1;"1";"fx0a4";7942.479;115;69.0650347826087
1;"AGUAS LINDAS DE GOIAS";"Feminino";2;"2";"fx5a9";9510.311;122;77.953368852459
1;"AGUAS LINDAS DE GOIAS";"Masculino";1;"2";"fx5a9";9638.751;138;69.8460217391304
2;"ALEXANIA";"Feminino";2;"2";"fx5a9";964.6376;47;20.5242042553191
2;"ALEXANIA";"Masculino";1;"2";"fx5a9";1016.33;50;20.3266
4;"CIDADE OCID_J ABC";"Feminino";2;"2";"fx5a9";550.145680320987;86;6.39704279443008
4;"CIDADE OCID_J ABC";"Masculino";1;"2";"fx5a9";570.888674542321;89;6.41447948923956
3;"CIDADE OCID_SEDE";"Feminino";2;"2";"fx5a9";2421.96984771264;77;31.4541538663979
3;"CIDADE OCID_SEDE";"Masculino";1;"2";"fx5a9";2513.28912613728;84;29.9201086444914
8;"COCALZ de GOIAS_GIR/EDI";"Feminino";2;"2";"fx5a9";324.230685989641;67;4.83926396999464
8;"COCALZ de GOIAS_GIR/EDI";"Masculino";1;"2";"fx5a9";345.31932914111;73;4.7304017690563
7;"COCALZ de GOIAS_SEDE";"Feminino";2;"2";"fx5a9";314.982364181382;48;6.56213258711213
7;"COCALZ de GOIAS_SEDE";"Masculino";1;"2";"fx5a9";335.46947710517;63;5.32491233500271
6;"CRISTALINA_CAM LIND";"Feminino";2;"2";"fx5a9";225.367265073795;72;3.13010090380271
6;"CRISTALINA_CAM LIND";"Masculino";1;"2";"fx5a9";240.773876490872;73;3.29827228069688
5;"CRISTALINA_SEDE";"Feminino";2;"2";"fx5a9";1085.5227458075;60;18.0920457634583
5;"CRISTALINA_SEDE";"Masculino";1;"2";"fx5a9";1159.73151398675;50;23.1946302797351
9;"FORMOSA";"Feminino";2;"2";"fx5a9";4569.682;95;48.1019157894737
9;"FORMOSA";"Masculino";1;"2";"fx5a9";4690.884;120;39.0907
11;"LUZIANIA_J INGA";"Feminino";2;"2";"fx5a9";2801.4087440869;54;51.8779397053129
11;"LUZIANIA_J INGA";"Masculino";1;"2";"fx5a9";2971.64506621417;88;33.768693934252
10;"LUZIANIA_SEDE";"Feminino";2;"2";"fx5a9";4818.75660844073;96;50.1953813379243
10;"LUZIANIA_SEDE";"Masculino";1;"2";"fx5a9";5111.58335283459;87;58.7538316417769
12;"NOVO GAMA";"Feminino";2;"2";"fx5a9";4889.292;85;57.5210823529412
12;"NOVO GAMA";"Masculino";1;"2";"fx5a9";4946.944;90;54.9660444444444
14;"Pe BERNARDO_M ALTO";"Feminino";2;"2";"fx5a9";396.250329895551;57;6.95176017360615
14;"Pe BERNARDO_M ALTO";"Masculino";1;"2";"fx5a9";409.7592399503;62;6.60901999919839
13;"Pe BERNARDO_SEDE";"Feminino";2;"2";"fx5a9";684.767718928128;50;13.6953543785626
13;"Pe BERNARDO_SEDE";"Masculino";1;"2";"fx5a9";708.112722895278;62;11.4211729499238
15;"PLANALTINA";"Feminino";2;"2";"fx5a9";3541.927;84;42.1657976190476
15;"PLANALTINA";"Masculino";1;"2";"fx5a9";3671.359;88;41.7199886363636
16;"SANTO ANTONIO DO DESCOBERTO";"Feminino";2;"2";"fx5a9";3132.291;72;43.5040416666667
16;"SANTO ANTONIO DO DESCOBERTO";"Masculino";1;"2";"fx5a9";3123.286;80;39.041075
17;"VALPARAISO DE GOIAS";"Feminino";2;"2";"fx5a9";7163.696;100;71.63696
17;"VALPARAISO DE GOIAS";"Masculino";1;"2";"fx5a9";7108.313;130;54.6793307692308
1;"AGUAS LINDAS DE GOIAS";"Feminino";2;"3";"fx10a14";8832.447;121;72.9954297520661
1;"AGUAS LINDAS DE GOIAS";"Masculino";1;"3";"fx10a14";8974.319;141;63.6476524822695
2;"ALEXANIA";"Feminino";2;"3";"fx10a14";999.6033;46;21.7305065217391
2;"ALEXANIA";"Masculino";1;"3";"fx10a14";1066.283;52;20.5054423076923
4;"CIDADE OCID_J ABC";"Feminino";2;"3";"fx10a14";521.992966070412;90;5.79992184522679
4;"CIDADE OCID_J ABC";"Masculino";1;"3";"fx10a14";551.6737100146;81;6.81078654339012
3;"CIDADE OCID_SEDE";"Feminino";2;"3";"fx10a14";2298.02990328486;84;27.3574988486293
3;"CIDADE OCID_SEDE";"Masculino";1;"3";"fx10a14";2428.69686925751;79;30.7429983450318
8;"COCALZ de GOIAS_GIR/EDI";"Feminino";2;"3";"fx10a14";326.040675990731;79;4.12709716443964
8;"COCALZ de GOIAS_GIR/EDI";"Masculino";1;"3";"fx10a14";350.826956758283;79;4.44084755390231
7;"COCALZ de GOIAS_SEDE";"Feminino";2;"3";"fx10a14";316.740726219041;61;5.19247092162362
7;"COCALZ de GOIAS_SEDE";"Masculino";1;"3";"fx10a14";340.820005734479;72;4.73361119075665
6;"CRISTALINA_CAM LIND";"Feminino";2;"3";"fx10a14";217.696464741146;75;2.90261952988195
6;"CRISTALINA_CAM LIND";"Masculino";1;"3";"fx10a14";234.494812093624;80;2.9311851511703
5;"CRISTALINA_SEDE";"Feminino";2;"3";"fx10a14";1048.57492981962;81;12.9453695039459
5;"CRISTALINA_SEDE";"Masculino";1;"3";"fx10a14";1129.48724926015;83;13.608280111568
9;"FORMOSA";"Feminino";2;"3";"fx10a14";4589.98;108;42.4998148148148
9;"FORMOSA";"Masculino";1;"3";"fx10a14";4736.025;125;37.8882
11;"LUZIANIA_J INGA";"Feminino";2;"3";"fx10a14";2756.00578429358;66;41.7576633983876
11;"LUZIANIA_J INGA";"Masculino";1;"3";"fx10a14";2926.45026833479;74;39.5466252477674
10;"LUZIANIA_SEDE";"Feminino";2;"3";"fx10a14";4740.65811138684;88;53.8711149021232
10;"LUZIANIA_SEDE";"Masculino";1;"3";"fx10a14";5033.84291905886;103;48.872261350086
12;"NOVO GAMA";"Feminino";2;"3";"fx10a14";4694.109;79;59.4191012658228
12;"NOVO GAMA";"Masculino";1;"3";"fx10a14";4724.792;99;47.7251717171717
14;"Pe BERNARDO_M ALTO";"Feminino";2;"3";"fx10a14";410.62987415085;69;5.95115759638914
14;"Pe BERNARDO_M ALTO";"Masculino";1;"3";"fx10a14";416.45926219588;87;4.78688807121701
13;"Pe BERNARDO_SEDE";"Feminino";2;"3";"fx10a14";709.617282388487;58;12.234780730836
13;"Pe BERNARDO_SEDE";"Masculino";1;"3";"fx10a14";719.691158555087;76;9.46962050730377
15;"PLANALTINA";"Feminino";2;"3";"fx10a14";3476.293;95;36.5925578947368
15;"PLANALTINA";"Masculino";1;"3";"fx10a14";3650.548;74;49.3317297297297
16;"SANTO ANTONIO DO DESCOBERTO";"Feminino";2;"3";"fx10a14";3109.39;104;29.8979807692308
16;"SANTO ANTONIO DO DESCOBERTO";"Masculino";1;"3";"fx10a14";3052.262;104;29.3486730769231
17;"VALPARAISO DE GOIAS";"Feminino";2;"3";"fx10a14";6737.596;91;74.0395164835165
17;"VALPARAISO DE GOIAS";"Masculino";1;"3";"fx10a14";6577.736;109;60.3462018348624
1;"AGUAS LINDAS DE GOIAS";"Feminino";2;"4";"fx15a19";10135.33;157;64.5562420382166
1;"AGUAS LINDAS DE GOIAS";"Masculino";1;"4";"fx15a19";9998.836;167;59.8732694610778
2;"ALEXANIA";"Feminino";2;"4";"fx15a19";1080.632;65;16.6251076923077
2;"ALEXANIA";"Masculino";1;"4";"fx15a19";1143.055;88;12.9892613636364
4;"CIDADE OCID_J ABC";"Feminino";2;"4";"fx15a19";557.280269858611;103;5.41048805687972
4;"CIDADE OCID_J ABC";"Masculino";1;"4";"fx15a19";577.695981193398;112;5.15799983208391
3;"CIDADE OCID_SEDE";"Feminino";2;"4";"fx15a19";2453.37927498624;103;23.8192162620024
3;"CIDADE OCID_SEDE";"Masculino";1;"4";"fx15a19";2543.25771817171;92;27.6441056323012
8;"COCALZ de GOIAS_GIR/EDI";"Feminino";2;"4";"fx15a19";337.889869078905;78;4.33192139844749
8;"COCALZ de GOIAS_GIR/EDI";"Masculino";1;"4";"fx15a19";379.82915156515;84;4.52177561387083
7;"COCALZ de GOIAS_SEDE";"Feminino";2;"4";"fx15a19";328.251934176309;81;4.05249301452233
7;"COCALZ de GOIAS_SEDE";"Masculino";1;"4";"fx15a19";368.994945002898;70;5.27135635718425
6;"CRISTALINA_CAM LIND";"Feminino";2;"4";"fx15a19";234.361886651587;82;2.85807178843399
6;"CRISTALINA_CAM LIND";"Masculino";1;"4";"fx15a19";247.923279353208;116;2.13726964959662
5;"CRISTALINA_SEDE";"Feminino";2;"4";"fx15a19";1128.84698950113;87;12.9752527528865
5;"CRISTALINA_SEDE";"Masculino";1;"4";"fx15a19";1194.16792347802;127;9.40289703525997
9;"FORMOSA";"Feminino";2;"4";"fx15a19";4976.577;159;31.2992264150943
9;"FORMOSA";"Masculino";1;"4";"fx15a19";5116.06;138;37.0728985507246
11;"LUZIANIA_J INGA";"Feminino";2;"4";"fx15a19";3015.46640698436;82;36.7739805729801
11;"LUZIANIA_J INGA";"Masculino";1;"4";"fx15a19";3123.92802340244;81;38.5670126345981
