"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"mes"	"qtd_meses"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"
"75"	10	53	16	6	15	1	3	1044.89207584	1294.62404271	10	9001	11	800	6	12	1	1.02	816	12676958.63	0	6808	569.91	7377.91
"76"	10	53	16	6	16	1	3	1044.89207584	1294.62404271	10	9001	11	450	6	12	1	1.02	459	7130789.23	0	1912.19	1704.13	3616.32
"77"	10	53	16	6	2	1	3	1044.89207584	1294.62404271	10	9001	11	600	4	12	1	1.04	624	9694144.83	0	9300	238.8	9538.8
"78"	10	53	16	6	23	1	3	1044.89207584	1294.62404271	10	9001	11	550	6	12	1	1.02	561	8715409.06	0	1736.81	591.38	2328.19
"79"	10	53	16	6	24	1	3	1044.89207584	1294.62404271	10	9001	11	800	7	12	1	1.02	816	12676958.63	0	4755	743.9	5498.9
"80"	10	53	16	6	27	1	3	1044.89207584	1294.62404271	10	9001	11	999999.99	7	12	1	1.02	255	3961549.57	1	1260	639.73	1899.73
"81"	10	53	16	6	7	1	3	1044.89207584	1294.62404271	10	9001	11	999999.99	5	12	1	1.03	693	10766093.54	1	13716	717.2	14433.2
"82"	10	53	16	6	8	1	3	1044.89207584	1294.62404271	10	9001	11	800	5	12	1	1.03	824	12801242.53	0	8886.5	534.39	9420.89
"83"	10	53	17	4	1	1	3	714.62123536	885.41759874	10	9001	11	500	5	12	1	1.03	515	5471880.76	0	364	507.1	871.1
"84"	10	53	17	4	12	1	3	714.62123536	885.41759874	10	9001	11	250	7	12	1	1.02	255	2709377.85	0	1331.5	262.37	1593.87
"85"	10	53	17	4	13	1	3	714.62123536	885.41759874	10	9001	11	300	7	12	1	1.02	306	3251253.42	0	386.94	552.12	939.06
"86"	10	53	17	4	2	1	3	714.62123536	885.41759874	10	9001	11	400	5	12	1	1.03	412	4377504.61	0	2331.25	98.87	2430.12
"87"	10	53	17	4	7	1	3	714.62123536	885.41759874	10	9001	11	600	6	12	1	1.02	612	6502506.85	0	5020.26	597.98	5618.24
"88"	10	53	17	4	8	1	3	714.62123536	885.41759874	10	9001	11	400	6	12	1	1.02	408	4335004.56	0	9019.86	393.58	9413.44
"89"	10	53	18	2	1	1	3	591.89733152	733.36235763	10	9001	11	350	4	12	1	1.04	364	3203326.78	0	1742	364	2106
"90"	10	53	18	2	2	1	3	591.89733152	733.36235763	10	9001	11	400	4	12	1	1.04	416	3660944.89	0	6815.57	299.4	7114.97
"91"	10	53	18	2	4	1	3	591.89733152	733.36235763	10	9001	11	500	5	12	1	1.03	515	4532179.37	0	742.6	498.65	1241.25
"92"	10	53	18	2	6	1	3	591.89733152	733.36235763	10	9001	11	400	5	12	1	1.03	412	3625743.5	0	5909.44	35.75	5945.18
"93"	10	53	18	2	9	1	3	591.89733152	733.36235763	10	9001	11	300	6	12	1	1.02	306	2692906.58	0	3060	309.5	3369.5
"94"	10	53	19	0	1	1	3	575.3030303	712.80197457	10	9001	11	550	7	12	1	1.02	561	4798582.89	0	3532.4	538.71	4071.11
"95"	10	53	19	0	13	1	3	575.3030303	712.80197457	10	9001	11	600	10	12	1	1.02	612	5234817.7	0	450.97	595.95	1046.92
"96"	10	53	19	0	2	1	3	575.3030303	712.80197457	10	9001	11	250	7	12	1	1.02	255	2181174.04	0	934.21	265.17	1199.38
"97"	10	53	19	0	3	1	3	575.3030303	712.80197457	10	9001	11	300	7	12	1	1.02	306	2617408.85	0	1759.81	460.39	2220.2
"98"	10	53	19	0	5	1	3	575.3030303	712.80197457	10	9001	11	400	8	12	1	1.02	408	3489878.47	0	816.43	410.95	1227.37
"99"	10	53	19	0	6	1	3	575.3030303	712.80197457	10	9001	11	800	8	12	1	1.02	816	6979756.93	0	10628.85	678.04	11306.89
"100"	10	53	19	0	8	1	3	575.3030303	712.80197457	10	9001	11	200	9	12	1	1.02	204	1744939.23	0	415	190.38	605.38
"101"	10	53	20	4	1	1	3	433.06486034	536.56850618	10	9001	11	700	7	12	1	1.02	714	4597318.96	0	1311	697.52	2008.52
"102"	10	53	20	4	12	1	3	433.06486034	536.56850618	10	9001	11	350	9	12	1	1.02	357	2298659.48	0	2226	325.61	2551.61
"103"	10	53	20	4	13	1	3	433.06486034	536.56850618	10	9001	11	400	10	12	1	1.02	408	2627039.41	0	3181.94	391.01	3572.94
"104"	10	53	20	4	14	1	3	433.06486034	536.56850618	10	9001	11	350	10	12	1	1.02	357	2298659.48	0	1040	339.15	1379.15
"105"	10	53	20	4	16	1	3	433.06486034	536.56850618	10	9001	11	350	10	12	1	1.02	357	2298659.48	0	2333.16	393.74	2726.9
"106"	10	53	20	4	3	1	3	433.06486034	536.56850618	10	9001	11	800	7	12	1	1.02	816	5254078.81	0	3096.5	893.2	3989.7
"107"	10	53	20	4	4	1	3	433.06486034	536.56850618	10	9001	11	500	7	12	1	1.02	510	3283799.26	0	3317.8	510	3827.8
"108"	10	53	20	4	5	1	3	433.06486034	536.56850618	10	9001	11	600	8	12	1	1.02	612	3940559.11	0	7289.94	180	7469.94
"109"	10	53	20	4	6	1	3	433.06486034	536.56850618	10	9001	11	999999.99	8	12	1	1.02	816	5254078.81	1	2847.35	785.96	3633.31
"110"	10	53	21	2	10	1	3	609.22459893	754.83088773	10	9001	11	500	9	12	1	1.02	510	4619565.03	0	412	510	922
"111"	10	53	21	2	2	1	3	609.22459893	754.83088773	10	9001	11	400	7	12	1	1.02	408	3695652.03	0	36.31	408	444.31
"112"	10	53	21	2	3	1	3	609.22459893	754.83088773	10	9001	11	700	7	12	1	1.02	714	6467391.05	0	553.33	502.73	1056.07
"113"	10	53	21	2	4	1	3	609.22459893	754.83088773	10	9001	11	600	8	12	1	1.02	612	5543478.04	0	864.83	606.18	1471.01
"114"	10	53	21	2	5	1	3	609.22459893	754.83088773	10	9001	11	350	8	12	1	1.02	357	3233695.52	0	6184.32	357	6541.32
"115"	10	53	21	2	6	1	3	609.22459893	754.83088773	10	9001	11	500	8	12	1	1.02	510	4619565.03	0	2619.81	444.41	3064.22
"116"	10	53	22	0	11	1	3	1101.51778656	1364.78344791	10	9001	11	500	10	12	1	1.02	510	8352474.7	0	1722.48	1108.93	2831.41
"117"	10	53	22	0	2	1	3	1101.51778656	1364.78344791	10	9001	11	400	8	12	1	1.02	408	6681979.76	0	3327.75	364.84	3692.59
"118"	10	53	22	0	8	1	3	1101.51778656	1364.78344791	10	9001	11	500	8	7	1	1.02	510	4872276.91	0	1854.68	881.27	2735.95
"119"	10	53	23	9	1	1	3	1215.29644269	1505.75550347	10	9001	11	350	8	12	1	1.02	357	6450656.58	0	902.63	346.4	1249.03
"120"	10	53	23	9	2	1	3	1215.29644269	1505.75550347	10	9001	11	200	8	12	1	1.02	204	3686089.47	0	900	212.84	1112.84
"121"	10	53	23	9	4	1	3	1215.29644269	1505.75550347	10	9001	11	350	8	12	1	1.02	357	6450656.58	0	936.43	248.82	1185.25
"122"	10	53	23	9	6	1	3	1215.29644269	1505.75550347	10	9001	11	250	9	12	1	1.02	255	4607611.84	0	876.32	255	1131.32
"123"	10	53	23	9	8	1	3	1215.29644269	1505.75550347	10	9001	11	350	9	12	1	1.02	357	6450656.58	0	1273.44	357.39	1630.83
"124"	10	53	23	9	9	1	3	1215.29644269	1505.75550347	10	9001	11	500	9	12	1	1.02	510	9215223.68	0	5916.59	501.42	6418
"125"	10	53	24	7	10	1	3	906.18465909	1122.76518688	10	9001	11	600	10	12	1	1.02	612	8245587.53	0	2625	607.04	3232.04
"126"	10	53	24	7	11	1	3	906.18465909	1122.76518688	10	9001	11	250	10	12	1	1.02	255	3435661.47	0	1047.38	238.68	1286.06
"127"	10	53	24	7	2	1	3	906.18465909	1122.76518688	10	9001	11	999999.99	7	12	1	1.02	255	3435661.47	1	276.67	446.54	723.2
"128"	10	53	24	7	6	1	3	906.18465909	1122.76518688	10	9001	11	400	8	12	1	1.02	408	5497058.35	0	4908	427.05	5335.05
"129"	10	53	24	7	8	1	3	906.18465909	1122.76518688	10	9001	11	500	9	12	1	1.02	510	6871322.94	0	4959.34	560.58	5519.91
"130"	10	53	24	7	9	1	3	906.18465909	1122.76518688	10	9001	11	400	9	12	1	1.02	408	5497058.35	0	629.17	0	629.17
"131"	10	53	25	5	10	1	3	1346.01033058	1667.71035593	10	9001	11	300	1	12	1	1	300	6003757.28	0	3640	314.37	3954.37
"132"	10	53	25	5	2	1	3	1346.01033058	1667.71035593	10	9001	11	999999.99	11	12	1	1.01	1200	24015029.13	1	300	823.22	1123.22
"133"	10	53	25	5	3	1	3	1346.01033058	1667.71035593	10	9001	11	680	11	12	1	1.01	686.8	13744601.67	0	1272	658.48	1930.48
"134"	10	53	25	5	6	1	3	1346.01033058	1667.71035593	10	9001	11	500	12	12	1	1	500	10006262.14	0	1141	459.88	1600.88
"135"	10	53	26	3	11	1	3	710.43814433	880.2347379	10	9001	11	700	12	12	1	1	700	7393971.8	0	3020.74	189.02	3209.76
"136"	10	53	26	3	2	1	3	710.43814433	880.2347379	10	9001	11	500	11	12	1	1.01	505	5334222.51	0	5118.02	475.53	5593.54
"137"	10	53	26	3	3	1	3	710.43814433	880.2347379	10	9001	11	1000	11	12	1	1.01	1010	10668445.02	0	5293.83	1087.63	6381.46
"138"	10	53	26	3	5	1	3	710.43814433	880.2347379	10	9001	11	400	11	12	1	1.01	404	4267378.01	0	1760.9	338.77	2099.67
"139"	10	53	26	3	7	1	3	710.43814433	880.2347379	10	9001	11	700	11	12	1	1.01	707	7467911.52	0	525	709.58	1234.58
"140"	10	53	27	1	1	1	3	1457.22688752	1805.50796383	10	9001	11	300	3	12	1	1	300	6499828.67	0	897.28	347.25	1244.53
"141"	10	53	27	1	2	1	3	1457.22688752	1805.50796383	10	9001	11	500	3	12	1	1	500	10833047.78	0	2357.78	550.75	2908.53
"142"	10	53	27	1	7	1	3	1457.22688752	1805.50796383	10	9001	11	200	12	12	1	1	200	4333219.11	0	525.2	242.98	768.18
"143"	10	53	27	1	9	1	3	1457.22688752	1805.50796383	10	9001	11	450	12	12	1	1	450	9749743	0	1943.33	432.86	2376.19
"144"	10	53	28	0	1	1	3	869.61583044	1077.45631155	10	9001	11	500	11	12	1	1.01	505	6529385.25	0	1272	552.63	1824.63
"145"	10	53	28	0	2	1	3	869.61583044	1077.45631155	10	9001	11	400	11	12	1	1.01	404	5223508.2	0	3402.05	34.37	3436.43
"146"	10	53	28	0	4	1	3	869.61583044	1077.45631155	10	9001	11	500	11	12	1	1.01	505	6529385.25	0	2769.96	550.28	3320.24
"147"	10	53	28	0	5	1	3	869.61583044	1077.45631155	10	9001	11	300	11	12	1	1.01	303	3917631.15	0	2533.33	382.22	2915.55
"148"	10	53	28	0	8	1	3	869.61583044	1077.45631155	10	9001	11	250	12	12	1	1	250	3232368.93	0	3197.31	250	3447.31
"149"	10	53	29	8	2	1	3	1019.45454545	1263.10687536	10	9001	11	500	11	12	1	1.01	505	7654427.66	0	1634.18	557.12	2191.29
"150"	10	53	30	1	12	1	3	569.90424242	706.11286213	10	9001	11	800	4	12	1	0.99	792	6710896.64	0	635.24	790.29	1425.53
"151"	10	53	30	1	13	1	3	569.90424242	706.11286213	10	9001	11	200	4	12	1	0.99	198	1677724.16	0	500	223.67	723.67
"152"	10	53	30	1	3	1	3	569.90424242	706.11286213	10	9001	11	250	2	12	1	1	250	2118338.59	0	452.12	250	702.12
"153"	10	53	30	1	4	1	3	569.90424242	706.11286213	10	9001	11	600	2	12	1	1	600	5084012.61	0	492	594.97	1086.97
"154"	10	53	30	1	7	1	3	569.90424242	706.11286213	10	9001	11	1000	2	12	1	1	1000	8473354.35	0	1243	1126.12	2369.12
"155"	10	53	31	0	1	1	3	592.61492979	734.25146377	10	9001	11	180	1	12	1	1	180	1585983.16	0	425.38	180	605.38
