"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"cod_inss"	"val_inss"	"cod_especie"	"mes"	"qtd_meses"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"val_inss_corrigido"	"valor_anual_expandido2"	"valor_inss_anual_expandido2"	"cod_imput"	"cod_imput_inss"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"
"73"	9	53	35	2	8	1	4	466.92957549	578.52697773	19	301	1	240	50301	0	3	6	12	1	1.07	256.8	0	1782788.73	0	0	0	8202.55	0	8202.55
"74"	9	53	36	0	4	1	4	1550.25	1920.76384597	19	301	1	40	50301	0	3	4	12	1	1.09	43.6	0	1004943.64	0	0	0	6262.81	468.65	6731.46
"75"	9	53	36	0	7	1	4	1550.25	1920.76384597	19	1501	1	100	51501	0	3	6	5	1	1.07	107	0	1027608.66	0	0	0	3614.87	524.36	4139.22
"76"	9	53	36	0	8	1	4	1550.25	1920.76384597	19	101	1	420	50101	0	3	6	3	1	1.07	449.4	0	2589573.82	0	0	0	6665.83	459	7124.83
"77"	9	53	37	9	1	1	4	1548.7899061	1918.95478578	19	301	1	180	50301	0	1	4	12	1	0.97	174.6	0	4020594.07	0	0	0	7250.1	667.4	7917.5
"78"	9	53	37	9	2	1	4	1548.7899061	1918.95478578	19	101	1	500	50101	0	3	7	12	1	1.05	525	0	12089415.15	0	0	0	12183.33	408	12591.33
"79"	9	53	37	9	4	1	4	1548.7899061	1918.95478578	19	101	1	381.8	50101	33.2	1	8	6	1	1.04	397.07	34.53	4571756.26	397569.05	0	0	6626.97	380.19	7007.16
"80"	9	53	37	9	7	1	4	1548.7899061	1918.95478578	19	101	1	250	50101	0	3	9	12	1	1.03	257.5	0	5929570.29	0	0	0	6112.67	594.67	6707.33
"81"	9	53	38	7	11	1	4	539.74789135	668.74906347	19	101	1	200	50101	0	1	10	12	1	1.02	204	0	1637097.71	0	0	0	7035.54	329.03	7364.57
"82"	9	53	38	7	3	1	4	539.74789135	668.74906347	19	101	1	700	50101	100	1	8	2	1	1.04	728	104	973698.64	139099.81	0	0	20142.15	1566.26	21708.41
"83"	9	53	39	5	1	1	4	368.33102087	456.36310804	19	101	1	200	50101	0	1	11	7	1	1.01	202	0	645297.43	0	0	0	5745.58	451.16	6196.74
"84"	9	53	39	5	18	1	4	368.33102087	456.36310804	19	1501	1	50	51501	999999.99	1	1	12	1	1	50	4	273817.86	21905.43	0	1	3776.2	22	3798.2
"85"	9	53	39	5	4	1	4	368.33102087	456.36310804	19	1501	1	90	51501	0	3	11	12	1	1.01	90.9	0	497800.88	0	0	0	11801.62	0	11801.62
"86"	9	53	39	5	6	1	4	368.33102087	456.36310804	19	1501	1	90	51501	0	3	12	12	1	1.01	90.9	0	497800.88	0	0	0	2774	0	2774
"87"	9	53	40	9	12	1	4	1286.18530184	1593.58698725	19	101	3	415	50101	0	1	1	12	1	1	415	0	7936063.2	0	0	0	10804.82	954.68	11759.5
"88"	9	53	40	9	3	1	4	1286.18530184	1593.58698725	19	101	1	620	50101	33	1	11	12	1	1.01	626.2	33.33	11974850.06	637371.05	0	0	5519.2	1422.75	6941.96
"89"	9	53	41	7	1	1	4	1938.13946459	2401.35991746	19	101	1	465	50101	999999.99	1	3	10	1	0.99	460.35	36.83	11054660.38	884420.86	0	1	5100	548	5648
"90"	9	53	41	7	12	1	4	1938.13946459	2401.35991746	19	301	1	415	50301	999999.99	3	12	12	1	1.01	419.15	33.53	12078360.11	966211.18	0	1	450.62	500	950.62
