"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_informante"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"cod_cond_vida"	"cod_qtd_ali"	"cod_tip_ali"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"val_rend_min"	"val_rec_min_ali"	"cod_raz_nao_ali"	"cod_cond_serv_agua"	"cod_cond_col_lixo"	"cod_cond_ilu_rua"	"cod_limpeza"	"cod_cond_dren_chuv"	"cod_forn_ener_elet"	"cod_transporte"	"cod_educacao"	"cod_saude"	"cod_lazeresporte"	"cod_esgotamento"	"cod_pouco_espaco"	"cod_viz_barulhe"	"cod_casa_escura"	"cod_telhado_got"	"cod_par_chao_umid"	"cod_made_deteriora"	"cod_pol_tran_indu"	"cod_vio_area_resid"	"cod_inundacoes"	"cod_cond_morada"	"cod_atraso_alug"	"cod_atraso_desp"	"cod_atraso_pres"
"84"	4	53	15	8	2	1	2	3	453.29347319	561.63181095	3	3	1	5883.78	561.47	6445.24	5000	1200	0	1	2	1	2	1	1	2	2	2	2	1	1	2	2	2	2	2	2	1	2	1	3	2	2
"85"	4	53	15	8	3	1	1	3	453.29347319	561.63181095	2	2	2	6092.27	400.41	6492.68	5000	4000	1	1	1	1	2	1	1	1	1	2	2	1	1	2	1	1	2	2	2	1	2	3	2	1	2
"86"	4	53	15	8	4	1	1	3	453.29347319	561.63181095	3	2	2	11013.07	431.2	11444.27	10000	2500	1	1	2	1	2	2	1	2	2	2	2	2	1	1	2	2	1	1	2	1	2	2	3	1	1
"87"	4	53	15	8	5	1	4	3	453.29347319	561.63181095	1	3	1	1268.24	587.88	1856.12	3000	1500	0	1	1	1	2	2	1	2	2	2	2	1	1	1	2	2	1	2	2	1	2	1	3	1	1
"88"	4	53	15	8	6	1	1	3	453.29347319	561.63181095	1	2	2	1965.05	219.99	2185.04	1500	1000	1	1	1	1	1	1	1	1	2	2	2	1	1	2	2	1	1	2	2	1	2	2	3	1	1
"89"	4	53	15	8	7	1	1	3	453.29347319	561.63181095	1	2	2	2058.15	445.61	2503.76	3500	600	3	1	2	1	2	2	1	2	2	2	2	1	1	2	1	2	1	1	2	1	1	2	2	1	2
"90"	4	53	16	6	1	1	3	3	1044.89207584	1294.62404271	4	3	1	3832.5	829.34	4661.84	0	700	0	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2	2	2	2	1	2	2	3	2	2
"91"	4	53	16	6	10	1	2	3	1044.89207584	1294.62404271	1	3	2	22906.81	664.28	23571.1	0	2000	1	1	1	2	2	2	1	2	2	2	2	2	1	2	1	2	2	2	1	2	2	2	3	1	1
"92"	4	53	16	6	12	1	1	3	1044.89207584	1294.62404271	1	1	3	5461.32	994.63	6455.95	8000	1500	1	1	1	1	2	1	1	2	1	2	3	1	2	2	2	1	1	2	2	2	2	3	3	1	2
"93"	4	53	16	6	15	1	1	3	1044.89207584	1294.62404271	3	3	2	6808	569.91	7377.91	10000	2000	3	1	1	1	2	3	1	2	3	1	3	3	2	1	2	2	2	2	2	2	2	1	2	2	2
"94"	4	53	16	6	16	1	2	3	1044.89207584	1294.62404271	4	2	2	1912.19	1704.13	3616.32	1500	550	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	2	2	2	3	1	1
"95"	4	53	16	6	2	1	1	3	1044.89207584	1294.62404271	6	3	1	9300	238.8	9538.8	0	0	0	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2
"96"	4	53	16	6	21	1	2	3	1044.89207584	1294.62404271	4	3	1	3077.17	37.48	3114.64	6000	0	0	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1	2	1	2	2	2	2	2	2
"97"	4	53	16	6	23	1	1	3	1044.89207584	1294.62404271	1	3	2	1736.81	591.38	2328.19	3800	400	1	1	1	1	1	1	1	2	1	2	2	1	1	2	2	2	2	1	1	1	2	1	2	2	2
"98"	4	53	16	6	24	1	2	3	1044.89207584	1294.62404271	3	3	2	4755	743.9	5498.9	4000	800	1	1	1	1	1	1	1	1	2	2	2	1	1	1	2	2	2	2	1	1	2	1	2	1	2
"99"	4	53	16	6	26	1	2	3	1044.89207584	1294.62404271	5	3	1	5159	6.85	5165.85	3000	400	0	1	1	1	1	1	1	2	1	1	3	1	1	1	2	2	2	2	2	2	2	2	2	2	2
"100"	4	53	16	6	27	1	1	3	1044.89207584	1294.62404271	3	3	2	1260	639.73	1899.73	4500	500	1	1	1	2	1	1	3	2	2	1	3	1	1	1	1	2	1	1	1	2	2	2	3	3	2
"101"	4	53	16	6	4	1	1	3	1044.89207584	1294.62404271	1	1	3	1160.95	18.36	1179.31	1500	800	1	1	1	2	2	2	1	2	1	2	3	1	1	2	2	1	2	2	1	2	2	2	1	1	1
"102"	4	53	16	6	7	1	1	3	1044.89207584	1294.62404271	4	3	1	13716	717.2	14433.2	5000	300	0	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2	2	2	2	2	2	1	3	2	2
"103"	4	53	16	6	8	1	1	3	1044.89207584	1294.62404271	6	3	1	8886.5	534.39	9420.89	0	200	0	1	1	2	2	2	2	3	2	2	2	2	2	1	1	2	2	2	1	1	1	1	3	3	2
