"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"prod_num_quadro_grupo_pro"	"cod_item"	"cod_obtencao"	"val_despesa"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"metodo_quantkg"	"quant_kg"	"cod_local_compra"	"qtd_item"	"cod_unidade_medida"	"cod_peso_volume"
"127"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	89	301	5	13.53	52	1.18	15.97	466401.52	0	1658.82	371.9	2030.71	-2	0	201	0	0	0
"128"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	89	502	5	4.39	52	1.03	4.52	132005.94	0	1658.82	371.9	2030.71	-2	0	201	0	0	0
"129"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	87	102	5	9.99	52	1.06	10.59	309279.41	0	1658.82	371.9	2030.71	-2	0	201	0	0	0
"130"	11	53	15	8	1	1	3	453.29347319	561.63181095	69	86	2201	5	2.89	52	1.01	2.92	85278.17	0	1658.82	371.9	2030.71	-2	0	101	0	0	0
"131"	11	53	15	8	1	1	3	453.29347319	561.63181095	69	63	113	5	15.96	52	0.98	15.64	456763.92	0	1658.82	371.9	2030.71	0	10	101	0.02	1305	802
"132"	11	53	15	8	1	1	3	453.29347319	561.63181095	69	70	4305	5	2.09	52	0.99	2.07	60454.05	0	1658.82	371.9	2030.71	0	0.5	101	0.01	2103	3401
"133"	11	53	15	8	1	1	3	453.29347319	561.63181095	69	63	2116	5	15.96	52	0.82	13.09	382291.54	0	1658.82	371.9	2030.71	0	4	101	0.04	1305	1702
"134"	11	53	15	8	1	1	3	453.29347319	561.63181095	69	82	3302	5	1.79	52	1.03	1.84	53736.93	0	1658.82	371.9	2030.71	1	0.018	101	0.01	201	17702
"135"	11	53	15	8	1	1	3	453.29347319	561.63181095	69	82	6301	5	1.89	52	1.03	1.95	56949.47	0	1658.82	371.9	2030.71	1	0.016	101	0.01	201	17702
"136"	11	53	15	8	1	1	3	453.29347319	561.63181095	69	82	2501	5	3.38	52	0.98	3.31	96668.07	0	1658.82	371.9	2030.71	0	0.5	101	0.01	1301	3401
"137"	11	53	15	8	1	1	3	453.29347319	561.63181095	69	84	301	5	9.96	52	0.79	7.87	229842.2	0	1658.82	371.9	2030.71	0	3.6	101	0.04	1004	14501
"138"	11	53	15	8	1	1	3	453.29347319	561.63181095	69	69	201	5	3.29	52	1.13	3.72	108642.06	0	1658.82	371.9	2030.71	0	5	101	0.01	1301	802
"139"	11	53	15	8	1	1	3	453.29347319	561.63181095	69	63	3601	5	3.57	52	1.03	3.68	107473.86	0	1658.82	371.9	2030.71	0	0.3	101	0.03	1306	9201
"140"	11	53	15	8	1	1	3	453.29347319	561.63181095	69	86	2401	5	7.99	52	1.06	8.47	247365.11	0	1658.82	371.9	2030.71	-2	0	101	0	0	0
"141"	11	53	15	8	1	1	3	453.29347319	561.63181095	69	79	1603	5	2.29	52	1.05	2.4	70091.65	0	1658.82	371.9	2030.71	0	0.5	101	0.01	2201	3401
"142"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	81	2210	5	2.7	52	1	2.7	78853.11	0	1658.82	371.9	2030.71	0	0.342	201	3.42	4504	0
"143"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	67	5701	5	2.17	52	0.78	1.69	49356.2	0	1658.82	371.9	2030.71	0	1.09	201	10.9	4504	0
"144"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	80	2201	5	5.8	52	1.01	5.86	171140.45	0	1658.82	371.9	2030.71	0	0.648	201	6.48	4502	0
"145"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	86	4603	5	2.19	52	1.07	2.34	68339.36	0	1658.82	371.9	2030.71	-2	0	201	0	0	0
"146"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	70	101	5	0.78	52	1.1	0.86	25116.17	0	1658.82	371.9	2030.71	0	1	201	0.01	1301	1702
"147"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	89	1201	5	7.98	52	1.05	8.38	244736.68	0	1658.82	371.9	2030.71	-2	0	201	0	0	0
"148"	11	53	15	8	1	1	3	453.29347319	561.63181095	69	65	1001	5	2.39	52	0.81	1.94	56657.42	0	1658.82	371.9	2030.71	0	1	101	0.01	1301	1702
"149"	11	53	15	8	1	1	3	453.29347319	561.63181095	69	81	104	5	9.78	52	1.03	10.07	294092.88	0	1658.82	371.9	2030.71	0	1	101	10	4504	0
"150"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	64	1701	5	0.61	52	1.03	0.63	18399.06	0	1658.82	371.9	2030.71	0	0.165	201	1.65	4504	0
"151"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	79	1001	5	4.74	52	1.03	4.88	142519.69	0	1658.82	371.9	2030.71	0	1.5	201	0.06	205	6101
"152"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	86	2201	5	5.19	52	1.01	5.24	153033.44	0	1658.82	371.9	2030.71	-2	0	201	0	0	0
"153"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	69	1702	5	1.77	52	1.03	1.82	53152.83	0	1658.82	371.9	2030.71	0	0.135	201	0.03	205	11601
"154"	11	53	15	8	10	1	3	453.29347319	561.63181095	68	81	2207	1	6	52	0.97	5.82	169972.25	0	764.78	586.33	1351.11	3	0.772	901	999.99	8801	0
"155"	11	53	15	8	10	1	3	453.29347319	561.63181095	63	79	110	1	1.45	52	0.95	1.38	40302.7	0	764.78	586.33	1351.11	0	1	301	0.01	202	13902
"156"	11	53	15	8	10	1	3	453.29347319	561.63181095	68	71	201	1	12.8	52	1.15	14.72	429895.45	0	764.78	586.33	1351.11	0	1	901	0.01	4807	0
"157"	11	53	15	8	10	1	3	453.29347319	561.63181095	66	85	2001	1	0.9	52	1.05	0.95	27744.61	0	764.78	586.33	1351.11	1	0.083	301	0.03	1903	0
"158"	11	53	15	8	10	1	3	453.29347319	561.63181095	65	68	2601	1	3	52	1.02	3.06	89366.85	0	764.78	586.33	1351.11	4	1.41	1201	0.01	1901	0
"159"	11	53	15	8	10	1	3	453.29347319	561.63181095	65	68	3001	1	2.95	52	1.11	3.27	95499.87	0	764.78	586.33	1351.11	3	1.08	1201	999.99	8801	0
"160"	11	53	15	8	10	1	3	453.29347319	561.63181095	63	80	101	1	0.57	52	1	0.57	16646.77	0	764.78	586.33	1351.11	0	0.1	301	0.02	1903	11401
"161"	11	53	15	8	10	1	3	453.29347319	561.63181095	67	79	110	1	1.45	52	0.95	1.38	40302.7	0	764.78	586.33	1351.11	0	1	301	0.01	202	13902
"162"	11	53	15	8	10	1	3	453.29347319	561.63181095	67	80	101	1	0.57	52	1	0.57	16646.77	0	764.78	586.33	1351.11	0	0.1	301	0.02	1903	11401
"163"	11	53	15	8	10	1	3	453.29347319	561.63181095	66	80	101	1	0.58	52	1	0.58	16938.82	0	764.78	586.33	1351.11	0	0.1	301	0.02	1903	11401
"164"	11	53	15	8	10	1	3	453.29347319	561.63181095	66	79	110	1	1.45	52	0.95	1.38	40302.7	0	764.78	586.33	1351.11	0	1	301	0.01	202	13902
"165"	11	53	15	8	10	1	3	453.29347319	561.63181095	65	67	902	1	1.2	52	1.37	1.64	47895.96	0	764.78	586.33	1351.11	3	1.268	1201	999.99	8801	0
"166"	11	53	15	8	10	1	3	453.29347319	561.63181095	65	68	2229	1	1	52	1.02	1.02	29788.95	0	764.78	586.33	1351.11	3	0.701	1201	999.99	8801	0
"167"	11	53	15	8	10	1	3	453.29347319	561.63181095	65	67	6502	1	1.3	52	1.24	1.61	47019.82	0	764.78	586.33	1351.11	3	1.054	1201	999.99	8801	0
"168"	11	53	15	8	10	1	3	453.29347319	561.63181095	65	67	108	1	0.5	52	1.07	0.54	15770.62	0	764.78	586.33	1351.11	4	0.2	1201	0.01	1701	0
"169"	11	53	15	8	10	1	3	453.29347319	561.63181095	65	64	1201	1	1	52	1.02	1.02	29788.95	0	764.78	586.33	1351.11	3	0.583	1201	999.99	8801	0
"170"	11	53	15	8	10	1	3	453.29347319	561.63181095	65	64	101	1	1.44	52	1.03	1.48	43223.18	0	764.78	586.33	1351.11	3	0.913	1201	999.99	8801	0
"171"	11	53	15	8	10	1	3	453.29347319	561.63181095	65	82	101	1	3.45	52	1.04	3.59	104845.43	0	764.78	586.33	1351.11	0	2	101	0.01	910	13502
"172"	11	53	15	8	10	1	3	453.29347319	561.63181095	65	79	110	1	1.45	52	0.95	1.38	40302.7	0	764.78	586.33	1351.11	0	1	101	0.01	202	13902
"173"	11	53	15	8	10	1	3	453.29347319	561.63181095	65	80	101	1	0.58	52	1	0.58	16938.82	0	764.78	586.33	1351.11	0	0.1	301	0.02	1903	11401
"174"	11	53	15	8	10	1	3	453.29347319	561.63181095	64	89	1201	1	3.08	52	1.01	3.11	90827.1	0	764.78	586.33	1351.11	-2	0	101	0	0	0
"175"	11	53	15	8	10	1	3	453.29347319	561.63181095	64	84	301	1	6.2	52	0.83	5.15	150405	0	764.78	586.33	1351.11	0	1.8	6702	0.02	1004	14501
"176"	11	53	15	8	10	1	3	453.29347319	561.63181095	64	69	201	1	4.35	52	1.12	4.87	142227.64	0	764.78	586.33	1351.11	0	5	101	0.01	1301	802
"177"	11	53	15	8	10	1	3	453.29347319	561.63181095	64	86	1801	1	3.7	52	0.98	3.63	106013.62	0	764.78	586.33	1351.11	-2	0	101	0	0	0
"178"	11	53	15	8	10	1	3	453.29347319	561.63181095	63	86	1101	1	1.9	52	1.04	1.98	57825.61	0	764.78	586.33	1351.11	-2	0	301	0	0	0
"179"	11	53	15	8	12	1	3	453.29347319	561.63181095	63	68	201	1	1.09	52	1.37	1.49	43515.23	0	745.07	0	745.07	0	1	1201	0.01	4807	0
"180"	11	53	15	8	12	1	3	453.29347319	561.63181095	65	70	101	1	0.7	52	1.06	0.74	21611.59	0	745.07	0	745.07	0	1	101	0.01	1301	1702
"181"	11	53	15	8	12	1	3	453.29347319	561.63181095	66	74	8501	1	4.63	52	1.1	5.09	148652.71	0	745.07	0	745.07	0	0.925	901	9.25	4504	0
"182"	11	53	15	8	12	1	3	453.29347319	561.63181095	66	80	101	1	0.83	52	1	0.83	24240.03	0	745.07	0	745.07	0	0.14	301	1.4	4504	0
"183"	11	53	15	8	12	1	3	453.29347319	561.63181095	66	63	1401	3	10	52	1.02	10.2	297889.51	0	745.07	0	745.07	0	4	101	0.04	1305	1702
"184"	11	53	15	8	12	1	3	453.29347319	561.63181095	66	82	2501	3	4.7	52	0.98	4.61	134634.38	0	745.07	0	745.07	0	0.5	101	5	4504	0
"185"	11	53	15	8	12	1	3	453.29347319	561.63181095	66	79	1602	3	2.8	52	1.02	2.86	83525.88	0	745.07	0	745.07	0	0.5	101	0.01	2201	3401
"186"	11	53	15	8	12	1	3	453.29347319	561.63181095	66	79	110	3	3.5	52	0.95	3.33	97252.16	0	745.07	0	745.07	0	2	101	0.02	204	13902
"187"	11	53	33	6	2	1	3	416.7539865	516.35929039	68	79	110	1	1.5	52	1.01	1.52	40813.04	0	6527.17	467.45	6994.62	0	1	301	0.01	4701	0
"188"	11	53	33	6	2	1	3	416.7539865	516.35929039	68	79	1201	1	1.2	52	1.01	1.21	32489.33	0	6527.17	467.45	6994.62	0	0.09	101	0.01	901	9401
"189"	11	53	33	6	2	1	3	416.7539865	516.35929039	68	80	4801	1	2.2	52	1	2.2	59071.5	0	6527.17	467.45	6994.62	1	0.283	301	0.01	1301	0
"190"	11	53	33	6	2	1	3	416.7539865	516.35929039	69	80	101	1	2	52	1	2	53701.37	0	6527.17	467.45	6994.62	1	0.485	301	0.07	1901	0
"191"	11	53	33	6	2	1	3	416.7539865	516.35929039	69	79	110	1	3	52	1.01	3.03	81357.57	0	6527.17	467.45	6994.62	0	2	301	0.02	4701	0
"192"	11	53	33	6	2	1	3	416.7539865	516.35929039	69	80	4801	1	2.2	52	1	2.2	59071.5	0	6527.17	467.45	6994.62	1	0.283	301	0.01	1301	0
