"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"mes"	"qtd_meses"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_local_compra"
"86"	7	53	12	3	20	1	2	547.72313297	678.63040891	11	101	7	999999.99	0	0	1	0.99	1199	813677.86	1	1200.53	1465.11	2665.64	7501
"87"	7	53	12	3	20	1	2	547.72313297	678.63040891	11	801	7	999999.99	0	0	1	1	72.1	48929.25	1	1200.53	1465.11	2665.64	7501
"88"	7	53	12	3	20	1	2	547.72313297	678.63040891	11	501	7	999999.99	0	0	1	0.99	1107.24	751406.73	1	1200.53	1465.11	2665.64	7501
"89"	7	53	12	3	4	1	2	547.72313297	678.63040891	10	501	3	100.88	4	12	1	1.04	104.92	854422.83	0	1955.75	1395.08	3350.83	8303
"90"	7	53	13	1	10	1	3	597.61338879	740.44456769	10	101	1	250	7	7	1	1.05	262.5	1360566.89	0	276.92	52.62	329.54	7502
"91"	7	53	13	1	12	1	3	597.61338879	740.44456769	10	101	1	400	7	12	1	1.05	420	3731840.62	0	5147.62	0	5147.62	7501
"92"	7	53	13	1	2	1	3	597.61338879	740.44456769	12	101	1	95000	0	0	1	1.07	101650	75266190.31	0	5458.25	653.81	6112.06	0
"93"	7	53	13	1	2	1	3	597.61338879	740.44456769	10	501	1	256	3	1	1	1.04	266.24	197135.96	0	5458.25	653.81	6112.06	8301
"94"	7	53	13	1	3	1	3	597.61338879	740.44456769	10	101	1	200	4	7	1	1.07	214	1109185.96	0	857.05	0	857.05	7502
"95"	7	53	13	1	5	1	3	597.61338879	740.44456769	11	1301	3	40000	0	0	1	1.1	44000	32579560.98	0	23101.05	1547.34	24648.39	7501
"96"	7	53	13	1	5	1	3	597.61338879	740.44456769	11	1601	1	130000	0	0	1	1.1	143000	105883573.18	0	23101.05	1547.34	24648.39	7501
"97"	7	53	13	1	6	1	3	597.61338879	740.44456769	11	99901	1	1370	0	0	1	1.08	1479.6	1095561.78	0	2852.9	566.5	3419.4	2101
"98"	7	53	13	1	8	1	3	597.61338879	740.44456769	10	501	3	45.7	6	6	1	1.03	47.07	209116.35	0	1503.48	435.47	1938.94	8303
"99"	7	53	13	1	9	1	3	597.61338879	740.44456769	10	101	1	400	6	2	1	1.06	424	627896.99	0	1594.99	23.61	1618.6	7508
"100"	7	53	14	0	1	1	3	745	923.05696839	10	501	3	92	5	5	1	1.03	94.76	437344.39	0	20432.47	681.52	21113.99	8201
"101"	7	53	14	0	1	1	3	745	923.05696839	11	901	3	2700	0	0	1	1.06	2862	2641789.04	0	20432.47	681.52	21113.99	2101
