"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ord_inform"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"val_recebido"	"val_deducao"	"cod_deduc"	"mes_ultimo_rendimento"	"num_meses_resgate"	"fator_anual"	"num_deflator"	"val_recebido_corrigido"	"val_deducao_corrigido"	"valor_anual_expandido2"	"valor_deduc_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"
"126"	15	53	8	5	3	1	1	2	806.17718447	998.85566158	54	1601	999999	0	51601	8	12	1	1.02	408	0	4890397.32	0	1	7887.54	2550	10437.54
"127"	15	53	8	5	3	1	1	2	806.17718447	998.85566158	54	1501	999999	0	51501	8	12	1	1.02	584.1	0	7001179.1	0	1	7887.54	2550	10437.54
"128"	15	53	8	5	3	1	1	2	806.17718447	998.85566158	55	3701	3000	0	53701	0	0	1	1.05	3150	0	3146395.33	0	0	7887.54	2550	10437.54
"129"	15	53	8	5	3	1	1	2	806.17718447	998.85566158	55	3801	1000	0	53801	0	0	1	1.05	1050	0	1048798.44	0	0	7887.54	2550	10437.54
"130"	15	53	8	5	3	1	2	2	806.17718447	998.85566158	54	1601	64	0	51601	0	0	1	1.02	65.28	0	0	0	2	7887.54	2550	10437.54
"131"	15	53	8	5	7	1	1	2	806.17718447	998.85566158	54	101	830	0	50101	9	12	1	1	830	0	9948602.39	0	0	902.63	0	902.63
"132"	15	53	8	5	7	1	1	2	806.17718447	998.85566158	55	6401	830	0	56401	0	0	1	1.05	871.5	0	870502.71	0	0	902.63	0	902.63
"133"	15	53	8	5	8	1	1	2	806.17718447	998.85566158	55	3801	800	0	53801	0	0	1	1.06	848	0	847029.6	0	3	4278.75	886.88	5165.63
"134"	15	53	8	5	8	1	1	2	806.17718447	998.85566158	55	3701	2500	0	53701	0	0	1	1.06	2650	0	2646967.5	0	3	4278.75	886.88	5165.63
"135"	15	53	8	5	8	1	2	2	806.17718447	998.85566158	55	5001	700	0	55001	0	0	1	1.04	728	0	727166.92	0	0	4278.75	886.88	5165.63
"136"	15	53	8	5	8	1	2	2	806.17718447	998.85566158	55	3701	500	0	53701	0	0	1	1.05	525	0	524399.22	0	0	4278.75	886.88	5165.63
"137"	15	53	8	5	9	1	1	2	806.17718447	998.85566158	54	101	830	0	50101	8	12	1	1	830	0	9948602.39	0	3	8865.56	3.32	8868.88
"138"	15	53	8	5	9	1	1	2	806.17718447	998.85566158	55	6401	830	0	56401	0	0	1	1.05	871.5	0	870502.71	0	3	8865.56	3.32	8868.88
"139"	15	53	8	5	9	1	1	2	806.17718447	998.85566158	56	101	5000	0	50101	0	0	1	1.07	5350	0	5343877.79	0	3	8865.56	3.32	8868.88
"140"	15	53	8	5	9	1	1	2	806.17718447	998.85566158	57	101	3000	0	50101	0	0	1	1.07	3210	0	3206326.67	0	3	8865.56	3.32	8868.88
"141"	15	53	8	5	9	1	2	2	806.17718447	998.85566158	54	1501	999999	0	51501	10	12	1	1.02	459	0	5501696.98	0	1	8865.56	3.32	8868.88
"142"	15	53	8	5	9	1	2	2	806.17718447	998.85566158	55	3801	999999	0	53801	0	0	1	1.04	1620	0	1618146.17	0	1	8865.56	3.32	8868.88
"143"	15	53	8	5	9	1	2	2	806.17718447	998.85566158	55	3701	999999	0	53701	0	0	1	1.04	227.25	0	226989.95	0	1	8865.56	3.32	8868.88
"144"	15	53	9	3	11	1	1	2	1096.01433692	1357.96465926	54	1601	132	0	51601	1	12	1	1	132	0	2151016.02	0	0	10798.1	883.84	11681.94
"145"	15	53	9	3	11	1	1	2	1096.01433692	1357.96465926	54	1501	260	0	51501	1	12	1	1	260	0	4236849.74	0	0	10798.1	883.84	11681.94
"146"	15	53	9	3	11	1	1	2	1096.01433692	1357.96465926	55	3801	2660	520	53801	0	0	1	1.02	2713.2	530.4	3684429.71	720264.46	0	10798.1	883.84	11681.94
"147"	15	53	9	3	11	1	1	2	1096.01433692	1357.96465926	55	3701	8000	1560	53701	0	0	1	1.02	8160	1591.2	11080991.62	2160793.37	0	10798.1	883.84	11681.94
"148"	15	53	9	3	3	1	1	2	1096.01433692	1357.96465926	55	3801	3000	0	53801	0	0	1	1.01	3030	0	4114632.92	0	0	11100	634.21	11734.21
"149"	15	53	9	3	3	1	1	2	1096.01433692	1357.96465926	55	3701	9000	2700	53701	0	0	1	1.01	9090	2727	12343898.75	3703169.63	0	11100	634.21	11734.21
"150"	15	53	9	3	9	1	1	2	1096.01433692	1357.96465926	54	101	1200	0	50101	12	12	1	1	1200	0	19554691.09	0	0	7143.4	2.6	7146
"151"	15	53	9	3	9	1	1	2	1096.01433692	1357.96465926	54	201	3000	0	50201	12	12	1	1	3000	0	48886727.73	0	0	7143.4	2.6	7146
"152"	15	53	10	7	5	1	1	2	2697.14328269	3341.76765348	54	101	1258	0	50101	12	12	1	1	1258	0	50447324.5	0	0	1932.79	960.06	2892.85
"153"	15	53	10	7	5	1	1	2	2697.14328269	3341.76765348	55	6401	1258	0	56401	0	0	1	1.02	1283.16	0	4288022.58	0	0	1932.79	960.06	2892.85
"154"	15	53	10	7	5	1	2	2	2697.14328269	3341.76765348	55	3801	626	0	53801	0	0	1	1.02	638.52	0	2133785.48	0	0	1932.79	960.06	2892.85
"155"	15	53	10	7	5	1	2	2	2697.14328269	3341.76765348	55	3701	470	0	53701	0	0	1	1.02	479.4	0	1602043.41	0	0	1932.79	960.06	2892.85
