referencia|municipio|A01setor|A01nficha|A01npessoas|D01|D02|D06|D03|D04|D05|D07|D08|D09|D10|D11|D12|D13|D14|D15|D16|D17|D18|D19|D20|D21|D22|E01|E02|E03|E04|E05|E06|E07|E08|E09|E10|E11|E12|E13|E14|E15|PESO|PROJ_POP|pos_estrato
2016|43|15|1989|4|6592|4|0|1|4|10|99|1|1|1|2|2006|9|88|10|1|1|43|43|99|99|99|1|1|4|99|0|7|99|99|99|99|99|99999|0|99|0|30,4401642288705|2404,77297408077|03103
2016|43|15|1989|4|6591|4|0|2|4|0|99|1|1|1|2|2016|9|88|0|1|1|43|43|99|99|99|0|99|99|99|0|99|99|99|99|99|99|99999|99999|99|99|45,3686218326791|2586,01144446271|03201
2016|43|15|1989|4|6593|1|99|1|4|38|4|1|1|1|1|1979|1|1|37|1|1|43|43|0|99|99|0|99|16|99|0|1|7|4|1|5|3|8000|0|2|1|26,6149766958678|2209,04306575703|03108
2016|43|15|1990|2|6595|1|99|2|1|32|2|7|0|1|2|1984|1|88|32|3|0|1|43|0|99|99|0|99|14|99|0|6|99|99|99|99|99|99999|400|0|43|28,5315163441309|2539,30495462765|03207
2016|43|15|1990|2|6596|2|99|1|1|41|2|7|0|1|2|1975|1|88|41|3|0|1|43|0|99|99|0|99|14|99|0|1|9|1|1|5|7|2000|88888|2|1|26,1471774839939|1934,89113381555|03109
2016|43|15|1991|4|6597|4|99|2|1|30|1|1|1|1|3|1986|1|9|30|3|0|43|43|0|99|99|0|99|14|99|0|1|4|1|1|4|1|88888|88888|2|43|28,5315163441309|2539,30495462765|03207
2016|43|15|1991|4|6598|4|99|1|1|35|1|1|1|1|3|1985|1|9|31|3|0|43|43|0|99|99|0|99|14|99|0|1|4|1|43|1|1|88888|88888|2|1|26,6149766958678|2209,04306575703|03108
2016|43|15|1991|4|6599|2|99|2|1|66|2|1|1|7|99|1985|1|6|31|0|0|43|43|0|99|99|0|99|2|99|0|0|99|99|99|99|99|99999|88888|99|1|12,6945241700666|558,559063482931|03214
2016|43|15|1991|4|6600|1|99|1|2|76|2|1|1|7|99|1985|1|6|31|0|0|43|43|0|99|99|0|99|2|99|0|2|99|99|99|99|99|99999|2000|99|43|21,5767259343956|604,148326163077|03115
2016|43|15|1992|2|6602|6|99|2|4|78|8|1|2|13|99|1978|13|1|38|0|0|1|43|0|99|99|0|99|12|99|0|2|99|99|99|99|99|99999|1500|99|0|22,9998463483713|804,994622192997|03215
